row_id,engagement_score
89198,4.1406465
89199,3.5793645
89200,2.7068622
89201,3.7559042
89202,1.9928963
89203,3.8147736
89204,3.794061
89205,3.836095
89206,2.6346397
89207,4.062383
89208,3.9127784
89209,4.0793138
89210,3.6938899
89211,4.1846232
89212,3.361986
89213,3.863825
89214,2.4956577
89215,4.090517
89216,4.0383887
89217,3.0473566
89218,4.1080904
89219,2.724616
89220,2.7661684
89221,3.267758
89222,3.433779
89223,4.022669
89224,3.4842837
89225,3.504232
89226,3.3879025
89227,3.054449
89228,3.782058
89229,2.8466585
89230,2.256323
89231,3.5935144
89232,3.6860328
89233,2.4939644
89234,3.4992566
89235,3.9708035
89236,3.474756
89237,4.2273893
89238,3.7920911
89239,3.6749256
89240,3.588182
89241,3.7738726
89242,4.170156
89243,4.22988
89244,4.022639
89245,3.939274
89246,3.5227697
89247,2.2394116
89248,3.980443
89249,2.5183363
89250,4.013952
89251,2.8231754
89252,3.6815665
89253,2.3824813
89254,3.4150398
89255,3.3436487
89256,3.1123667
89257,3.7712648
89258,4.036615
89259,3.3115883
89260,2.611864
89261,2.955677
89262,3.7815561
89263,3.6111684
89264,4.2077346
89265,2.4049814
89266,3.799113
89267,3.9322956
89268,3.6316588
89269,3.3782601
89270,3.7700696
89271,3.286186
89272,3.7645206
89273,4.359331
89274,3.3519576
89275,3.401416
89276,2.956605
89277,2.619847
89278,3.8347888
89279,2.9425993
89280,3.066555
89281,3.4238653
89282,3.160999
89283,4.0740194
89284,4.17162
89285,2.934711
89286,3.8320026
89287,3.4022603
89288,3.8142767
89289,4.2203317
89290,3.3088238
89291,3.0109718
89292,4.088729
89293,4.2663803
89294,3.4728453
89295,3.4434736
89296,3.3335948
89297,3.9940684
89298,3.7830665
89299,4.2934847
89300,3.7132194
89301,4.190298
89302,3.4001386
89303,2.4715605
89304,4.034608
89305,4.0814867
89306,3.7190204
89307,3.7310753
89308,3.6319864
89309,3.9819024
89310,3.4455938
89311,2.8661897
89312,3.6130512
89313,3.9215426
89314,3.7037609
89315,3.6843486
89316,2.5030644
89317,2.17649
89318,3.0368705
89319,2.6595373
89320,3.2829802
89321,3.6643715
89322,3.4417815
89323,4.2691965
89324,3.3311
89325,3.8643184
89326,4.019794
89327,4.1737733
89328,2.9872544
89329,3.5284357
89330,3.015441
89331,4.252039
89332,3.8949814
89333,4.325182
89334,3.6853395
89335,3.9088116
89336,2.4121344
89337,3.015491
89338,3.6921036
89339,3.0469055
89340,3.4597297
89341,3.5812237
89342,3.6151187
89343,2.5391974
89344,3.3774753
89345,3.8044035
89346,3.900944
89347,3.3052359
89348,3.0026057
89349,3.5588505
89350,4.086569
89351,3.042825
89352,3.6531029
89353,4.053781
89354,2.9361339
89355,4.1553154
89356,3.9825592
89357,4.0020833
89358,3.262573
89359,3.4439623
89360,3.3259933
89361,4.1182675
89362,4.0761104
89363,2.8412426
89364,4.1122055
89365,3.158082
89366,3.6520913
89367,3.8289638
89368,4.068221
89369,3.3952763
89370,3.7359207
89371,4.2205234
89372,3.7230642
89373,3.0292163
89374,3.2146304
89375,3.9312513
89376,3.8470836
89377,4.125617
89378,4.1284976
89379,3.426745
89380,3.970999
89381,3.6741629
89382,3.7217226
89383,2.806582
89384,3.6428432
89385,4.499861
89386,3.2459865
89387,3.174923
89388,3.7807946
89389,3.6461449
89390,4.2467985
89391,3.573364
89392,3.2572606
89393,3.193943
89394,3.675821
89395,3.0787532
89396,3.6287515
89397,3.5983527
89398,3.516098
89399,3.0466278
89400,2.8371122
89401,3.5214171
89402,3.1667135
89403,3.9825213
89404,3.1957507
89405,3.2526429
89406,3.537899
89407,4.345803
89408,3.186394
89409,4.074118
89410,2.7778819
89411,3.6420426
89412,3.8324122
89413,4.190258
89414,3.7502043
89415,2.5719595
89416,2.6941977
89417,3.6866446
89418,2.9742527
89419,4.10757
89420,2.0594795
89421,3.2143176
89422,3.2605865
89423,3.3385422
89424,3.5430372
89425,3.404631
89426,3.9102154
89427,2.7767413
89428,4.0852113
89429,3.8462617
89430,3.657552
89431,3.1811016
89432,3.7437868
89433,4.111834
89434,4.1156173
89435,2.7429395
89436,2.267878
89437,1.9408045
89438,3.5433426
89439,2.6344833
