row_id,engagement_score
89198,4.12498
89199,3.6926866
89200,2.9164765
89201,3.7336345
89202,2.5882108
89203,3.9862642
89204,3.9462152
89205,3.73886
89206,2.777844
89207,4.124633
89208,3.996293
89209,3.886452
89210,3.5803611
89211,4.2394505
89212,3.3080359
89213,3.8955755
89214,2.6400015
89215,3.8642027
89216,3.8757656
89217,2.8414884
89218,4.1011195
89219,3.0346048
89220,2.8347182
89221,3.489003
89222,3.4427714
89223,4.0382376
89224,3.548726
89225,3.6732857
89226,3.2085094
89227,3.0481668
89228,3.799688
89229,3.2328553
89230,2.9791179
89231,3.404726
89232,3.6779563
89233,2.5488846
89234,3.5179088
89235,3.968746
89236,3.31028
89237,4.362201
89238,3.8958602
89239,3.6354527
89240,3.6919081
89241,3.7022433
89242,4.0934777
89243,4.138051
89244,4.2523355
89245,3.7149034
89246,3.5040133
89247,2.2336195
89248,3.8551023
89249,2.847077
89250,4.045365
89251,3.1458104
89252,3.6555843
89253,2.8770397
89254,3.3382971
89255,3.3682725
89256,3.0139332
89257,3.605018
89258,4.0430474
89259,3.2337048
89260,2.4928129
89261,3.011838
89262,3.7214797
89263,3.642632
89264,3.8776162
89265,2.438706
89266,3.9550712
89267,3.8380005
89268,3.6165624
89269,3.2487073
89270,3.621983
89271,3.3461432
89272,3.6265929
89273,4.0454526
89274,3.2544227
89275,3.3965375
89276,2.5639985
89277,2.759496
89278,4.0966344
89279,2.871597
89280,3.1640713
89281,3.4134188
89282,3.203213
89283,4.067584
89284,4.201211
89285,3.042669
89286,4.00455
89287,3.408127
89288,3.7583368
89289,4.1048894
89290,3.0845933
89291,3.1305861
89292,3.8740897
89293,4.207642
89294,3.7171726
89295,3.446427
89296,3.4777946
89297,4.0666428
89298,3.8632696
89299,4.359844
89300,3.8812497
89301,4.0751677
89302,3.3609302
89303,2.806752
89304,4.228943
89305,4.1810117
89306,3.7467222
89307,3.6474729
89308,3.6118546
89309,3.997117
89310,3.330296
89311,3.1075804
89312,3.6151762
89313,3.724504
89314,3.7116058
89315,3.5556698
89316,2.5841172
89317,2.1479943
89318,3.023317
89319,2.474636
89320,3.350998
89321,3.7873528
89322,3.5361955
89323,4.204052
89324,3.4284747
89325,3.7455533
89326,4.056286
89327,4.1928096
89328,2.7615685
89329,3.6589277
89330,2.914722
89331,4.2192607
89332,3.7508647
89333,4.1667423
89334,3.6517148
89335,3.7446334
89336,2.677501
89337,3.438536
89338,3.831551
89339,3.1438053
89340,3.4937558
89341,3.4664414
89342,3.7384338
89343,2.652136
89344,3.4254067
89345,3.778133
89346,3.6383839
89347,3.7370138
89348,2.814056
89349,3.6219323
89350,4.0295477
89351,3.0434642
89352,3.5809004
89353,3.9943771
89354,2.8623865
89355,4.1541557
89356,4.0754204
89357,4.146239
89358,3.2872925
89359,3.5509923
89360,3.329788
89361,4.1232944
89362,4.091912
89363,3.4539695
89364,4.1041145
89365,3.3170145
89366,3.6847448
89367,3.4512439
89368,4.087556
89369,3.2907267
89370,3.721639
89371,4.160699
89372,3.7960126
89373,3.363504
89374,3.1863875
89375,3.977927
89376,4.100216
89377,4.0631824
89378,4.0795503
89379,3.536741
89380,3.8980312
89381,3.5588017
89382,3.6623676
89383,2.7804563
89384,3.8362029
89385,4.2527227
89386,3.2969427
89387,3.220046
89388,3.8688798
89389,3.6339562
89390,4.084908
89391,3.6383264
89392,3.2824862
89393,3.0326068
89394,3.443277
89395,3.0967145
89396,3.6658592
89397,3.6533086
89398,3.5829172
89399,3.030699
89400,2.8459573
89401,3.6013708
89402,3.1793454
89403,3.8205788
89404,3.492648
89405,3.5050468
89406,3.6612115
89407,4.2961407
89408,3.1014078
89409,4.0613613
89410,2.748381
89411,3.6765668
89412,3.7734337
89413,4.2286506
89414,3.7791207
89415,2.6563709
89416,3.095972
89417,3.6836555
89418,3.1216862
89419,3.8997507
89420,1.7953702
89421,3.3251145
89422,3.2049358
89423,3.438628
89424,3.472797
89425,3.4638336
89426,3.9119372
89427,3.0533457
89428,4.3931375
89429,3.972545
89430,3.6051545
89431,3.5042245
89432,3.7481318
89433,4.1402993
89434,4.0868807
89435,2.9386542
89436,2.3687701
89437,1.8904278
89438,3.462809
89439,2.918229
89440,4.0536838
89441,2.6194
89442,3.630741
89443,3.063376
89444,3.3549335
89445,4.0765886
89446,3.6613002
89447,3.3201544
89448,3.246619
89449,3.129993
89450,3.029056
89451,3.926477
89452,3.892413
89453,2.7408242
89454,2.7694824
89455,3.6620014
89456,3.3871894
89457,3.875747
89458,4.1211214
89459,2.4948204
89460,3.5845647
89461,3.4987087
89462,3.6532187
89463,2.7423205
89464,3.6043756
89465,3.1915607
89466,4.143064
89467,3.1083353
89468,3.313034
89469,2.3863058
89470,1.8453757
89471,3.4719975
89472,4.064668
89473,3.2128181
89474,2.9453049
89475,3.5981736
89476,3.7582548
89477,3.2505288
89478,2.6928844
89479,3.0596466
89480,3.839288
89481,3.5545743
89482,3.7079883
89483,3.641022
89484,3.5813975
89485,3.561928
89486,4.0766087
89487,4.0851555
89488,3.3284874
89489,3.670876
89490,3.699401
89491,3.0730767
89492,3.6437747
89493,4.221895
89494,3.8490257
89495,3.9831276
89496,2.744987
89497,2.8910978
89498,3.4203453
89499,3.309294
89500,3.1696968
89501,3.0847373
89502,2.8239946
89503,4.0661783
89504,3.0963242
89505,4.040626
89506,3.1476333
89507,3.9372153
89508,3.1819863
89509,3.514027
89510,3.7443123
89511,4.073556
89512,3.998642
89513,4.0868187
89514,3.791561
89515,3.675854
89516,2.5424714
89517,3.8540154
89518,3.7384644
89519,3.4895096
89520,3.9821312
89521,4.0886965
89522,3.100831
89523,4.0608788
89524,3.5387642
89525,3.8796937
89526,3.8739648
89527,3.0801299
89528,3.6883643
89529,3.4869452
89530,3.5720365
89531,3.8724854
89532,4.099828
89533,2.7756474
89534,3.763136
89535,3.765442
89536,3.5772982
89537,3.6051137
89538,3.4846697
89539,2.1602237
89540,2.8867016
